,NDPD1,NHAPD1,NIPD1,NRPD1,NDPD2,NHAPD2,NIPD2,NRPD2,HOCC1PD,HOCC2PD,NPPD1,NPPD2
0,0,0,0,0,0,0,0,0,0,0,0,0
1,11,614,2414,1825,10,465,1369,926,603,455,11,10
2,33,624,2517,1962,31,469,1393,982,1194,893,33,31
3,71,635,2526,1994,50,434,1360,1016,1758,1277,71,50
4,95,671,2525,2004,64,465,1396,1061,2334,1678,95,64
5,118,625,2520,2085,74,409,1322,1044,2841,2013,118,74
6,108,608,2524,2153,69,446,1415,1136,3341,2390,108,69
7,141,581,2434,2083,75,480,1417,1133,3781,2795,141,75
8,178,587,2416,2060,90,466,1386,1123,4190,3171,178,90
9,137,639,2461,2090,108,487,1451,1189,4692,3550,137,108
10,174,637,2464,2128,113,490,1433,1144,5155,3927,174,113
11,167,589,2435,2128,98,456,1411,1197,5577,4285,167,98
12,200,592,2464,2193,114,441,1391,1196,5969,4612,200,114
13,191,595,2445,2138,110,459,1406,1217,6373,4961,191,110
14,213,657,2442,2110,118,465,1406,1243,6817,5308,213,118
15,219,613,2527,2247,136,449,1376,1202,7211,5621,219,136
16,214,641,2450,2178,118,483,1439,1227,7638,5986,214,118
17,227,633,2466,2188,131,433,1423,1296,8044,6288,227,131
18,230,632,2387,2105,136,431,1385,1250,8446,6583,230,136
19,215,589,2436,2221,142,446,1416,1262,8820,6887,215,142
20,225,557,2387,2190,146,428,1345,1211,9152,7169,225,146
21,205,620,2448,2165,139,457,1394,1220,9567,7487,205,139
22,216,607,2477,2238,150,444,1367,1224,9958,7781,216,150
23,210,591,2476,2251,136,493,1404,1208,10339,8138,210,136
24,239,592,2419,2183,138,467,1414,1257,10692,8467,239,138
25,255,653,2492,2201,136,454,1361,1205,11090,8785,255,136
26,224,603,2365,2117,125,453,1396,1240,11469,9113,224,125
27,259,612,2486,2222,115,450,1411,1261,11822,9448,259,115
28,228,625,2475,2220,151,487,1454,1285,12219,9784,228,151
29,213,618,2433,2166,126,484,1423,1245,12624,10142,213,126
30,210,657,2432,2146,138,422,1369,1248,13071,10426,210,138
31,224,586,2422,2226,131,437,1350,1223,13433,10732,224,131
32,252,640,2460,2204,139,450,1374,1231,13821,11043,252,139
33,240,647,2464,2183,158,466,1381,1244,14228,11351,240,158
34,244,575,2473,2286,116,473,1407,1266,14559,11708,244,116
35,231,644,2548,2285,140,469,1426,1274,14972,12037,231,140
36,256,599,2525,2297,148,498,1413,1249,15315,12387,256,148
37,246,572,2452,2253,147,491,1463,1278,15641,12731,246,147
38,262,619,2443,2195,152,476,1438,1307,15998,13055,262,152
39,224,617,2501,2283,137,462,1388,1215,16391,13380,224,137
40,223,654,2546,2271,134,509,1408,1226,16822,13755,223,134
41,226,591,2483,2254,142,452,1417,1312,17187,14065,226,142
42,253,615,2510,2304,147,439,1337,1228,17549,14357,253,147
43,186,605,2440,2199,149,460,1461,1345,17968,14668,186,149
44,228,634,2434,2192,143,439,1355,1208,18374,14964,228,143
45,272,651,2521,2251,131,441,1393,1276,18753,15274,272,131
46,231,632,2521,2293,151,475,1436,1295,19154,15598,231,151
47,247,679,2552,2249,148,483,1455,1302,19586,15933,247,148
48,195,562,2429,2249,137,519,1427,1212,19953,16315,195,137
49,249,650,2447,2191,138,470,1388,1262,20354,16647,249,138
50,243,649,2557,2277,125,451,1431,1298,20760,16973,243,125
51,261,675,2512,2202,140,486,1405,1254,21174,17319,261,140
52,237,616,2472,2249,142,463,1404,1268,21553,17640,237,142
53,245,609,2423,2243,140,442,1338,1227,21917,17942,245,140
54,243,612,2505,2275,139,485,1418,1245,22286,18288,243,139
55,234,605,2495,2283,152,435,1432,1308,22657,18571,234,152
56,228,585,2513,2305,139,466,1391,1239,23014,18898,228,139
57,225,603,2441,2238,129,499,1394,1219,23392,19268,225,129
58,235,618,2416,2186,137,478,1389,1215,23775,19609,235,137
59,246,641,2465,2187,128,449,1378,1284,24170,19930,246,128
60,232,647,2488,2221,154,465,1464,1332,24585,20241,232,154
61,228,664,2553,2338,148,508,1472,1306,25021,20601,228,148
62,214,630,2523,2278,130,450,1360,1240,25437,20921,214,130
63,212,644,2533,2228,154,471,1347,1182,25869,21238,212,154
64,263,626,2428,2195,142,484,1408,1246,26232,21580,263,142
65,248,572,2412,2283,152,494,1409,1251,26556,21922,248,152
66,229,633,2568,2325,150,454,1355,1239,26960,22226,229,150
67,204,572,2485,2276,136,500,1394,1234,27328,22590,204,136
68,250,622,2479,2252,131,444,1381,1259,27700,22903,250,131
69,252,618,2384,2146,157,498,1433,1260,28066,23244,252,157
70,219,599,2499,2312,151,484,1399,1289,28446,23577,219,151
71,219,600,2455,2224,154,451,1386,1262,28827,23874,219,154
72,194,656,2464,2191,152,479,1421,1299,29289,24201,194,152
73,238,607,2470,2240,140,469,1398,1249,29658,24530,238,140
74,224,637,2493,2255,148,461,1365,1208,30071,24843,224,148
75,223,591,2513,2308,139,433,1375,1265,30439,25137,223,139
76,221,588,2461,2272,110,471,1407,1266,30806,25498,221,110
77,241,646,2497,2221,148,453,1407,1269,31211,25803,241,148
78,230,646,2567,2299,119,482,1465,1322,31627,26166,230,119
79,249,636,2501,2249,154,464,1403,1265,32014,26476,249,154
80,231,586,2460,2271,167,448,1381,1297,32369,26757,231,167
81,241,629,2474,2260,119,465,1420,1299,32757,27103,241,119
82,248,594,2503,2287,127,446,1415,1282,33103,27422,248,127
83,242,603,2448,2241,137,455,1395,1245,33464,27740,242,137
84,230,588,2412,2197,150,455,1437,1319,33822,28045,230,150
85,213,634,2509,2228,161,460,1412,1242,34243,28344,213,161
86,261,611,2500,2242,169,465,1402,1252,34593,28640,261,169
