,NDPD1,NHAPD1,NIPD1,NRPD1,NDPD2,NHAPD2,NIPD2,NRPD2,HOCC1PD,HOCC2PD,NPPD1,NPPD2
0,0,0,0,0,0,0,0,0,0,0,0,0
1,19,618,2466,1870,9,454,1377,943,599,445,19,9
2,51,627,2501,1955,30,442,1332,971,1175,857,51,30
3,57,665,2519,1989,27,484,1394,1006,1783,1314,57,27
4,109,652,2496,1996,48,464,1390,1037,2326,1730,109,48
5,110,598,2441,2035,72,458,1441,1138,2814,2116,110,72
6,136,639,2421,1989,82,465,1406,1119,3317,2499,136,82
7,140,625,2496,2083,89,450,1367,1103,3802,2860,140,89
8,172,610,2473,2109,78,456,1369,1125,4240,3238,172,78
9,176,645,2508,2126,104,469,1415,1170,4709,3603,176,104
10,185,646,2484,2134,122,501,1469,1202,5170,3982,185,122
11,184,607,2445,2183,97,472,1449,1247,5593,4357,184,97
12,163,622,2436,2129,117,467,1372,1190,6052,4707,163,117
13,194,614,2529,2231,107,445,1455,1270,6472,5045,194,107
14,197,603,2478,2192,134,468,1417,1221,6878,5379,197,134
15,233,663,2542,2201,124,464,1434,1266,7308,5719,233,124
16,206,599,2415,2134,126,468,1432,1253,7701,6061,206,126
17,204,594,2433,2200,111,427,1373,1245,8091,6377,204,111
18,232,629,2443,2186,118,435,1422,1263,8488,6694,232,118
19,244,610,2524,2287,143,477,1423,1231,8854,7028,244,143
20,189,607,2469,2229,143,464,1351,1209,9272,7349,189,143
21,226,641,2519,2242,124,471,1359,1198,9687,7696,226,124
22,203,614,2428,2194,172,470,1407,1236,10098,7994,203,172
23,251,593,2343,2123,121,452,1407,1287,10440,8325,251,121
24,240,607,2465,2218,135,439,1406,1290,10807,8629,240,135
25,214,619,2605,2372,140,469,1416,1247,11212,8958,214,140
26,230,590,2398,2164,136,505,1511,1310,11572,9327,230,136
27,227,606,2475,2224,145,441,1368,1258,11951,9623,227,145
28,225,591,2443,2203,120,485,1426,1247,12317,9988,225,120
29,247,641,2552,2271,142,463,1412,1283,12711,10309,247,142
30,253,571,2383,2187,128,446,1371,1248,13029,10627,253,128
31,235,626,2507,2299,130,439,1366,1236,13420,10936,235,130
32,227,608,2438,2191,140,467,1410,1239,13801,11263,227,140
33,220,600,2454,2243,135,459,1448,1341,14181,11587,220,135
34,211,621,2463,2190,128,441,1388,1231,14591,11900,211,128
35,235,649,2509,2201,119,437,1430,1311,15005,12218,235,119
36,217,636,2454,2228,144,435,1388,1270,15424,12509,217,144
37,223,594,2452,2222,134,462,1395,1255,15795,12837,223,134
38,243,615,2480,2259,148,433,1428,1295,16167,13122,243,148
39,238,681,2570,2285,143,462,1373,1217,16610,13441,238,143
40,223,644,2558,2299,155,481,1470,1294,17031,13767,223,155
41,242,648,2497,2222,146,446,1344,1207,17437,14067,242,146
42,212,586,2451,2255,148,457,1360,1196,17811,14376,212,148
43,244,578,2383,2201,133,450,1404,1273,18145,14693,244,133
44,255,611,2471,2256,120,448,1422,1269,18501,15021,255,120
45,216,577,2357,2123,140,406,1301,1231,18862,15287,216,140
46,219,580,2324,2111,141,478,1381,1220,19223,15624,219,141
47,231,609,2413,2183,123,469,1383,1248,19601,15970,231,123
48,222,560,2481,2287,154,445,1360,1200,19939,16261,222,154
49,223,612,2391,2175,131,473,1374,1214,20328,16603,223,131
50,212,594,2451,2225,129,454,1379,1238,20710,16928,212,129
51,239,578,2456,2222,132,451,1406,1288,21049,17247,239,132
52,231,614,2481,2260,127,481,1427,1276,21432,17601,231,127
53,228,629,2411,2135,141,462,1369,1253,21833,17922,228,141
54,259,616,2511,2276,122,459,1387,1214,22190,18259,259,122
55,250,619,2480,2272,131,455,1379,1270,22559,18583,250,131
56,237,642,2458,2182,138,462,1419,1284,22964,18907,237,138
57,227,578,2399,2183,145,527,1464,1272,23315,19289,227,145
58,220,623,2430,2139,128,453,1418,1290,23718,19614,220,128
59,241,619,2504,2288,149,474,1408,1242,24096,19939,241,149
60,236,612,2439,2159,150,446,1370,1261,24472,20235,236,150
61,223,599,2384,2160,140,489,1402,1239,24848,20584,223,140
62,245,599,2496,2273,148,472,1415,1296,25202,20908,245,148
63,244,639,2505,2236,133,503,1418,1238,25597,21278,244,133
64,228,619,2452,2264,121,510,1453,1292,25988,21667,228,121
65,247,605,2401,2194,150,449,1338,1206,26346,21966,247,150
66,222,608,2476,2225,141,465,1436,1325,26732,22290,222,141
67,237,579,2457,2250,144,451,1356,1220,27074,22597,237,144
68,223,598,2500,2273,155,475,1419,1259,27449,22917,223,155
69,226,593,2509,2305,158,465,1365,1235,27816,23224,226,158
70,242,619,2451,2186,139,456,1392,1235,28193,23541,242,139
71,216,603,2431,2227,135,460,1367,1223,28580,23866,216,135
72,223,599,2424,2216,144,485,1422,1269,28956,24207,223,144
73,209,576,2399,2203,136,438,1364,1282,29323,24509,209,136
74,241,620,2530,2286,142,489,1438,1256,29702,24856,241,142
75,258,626,2510,2262,155,429,1340,1236,30070,25130,258,155
76,251,632,2470,2212,134,470,1382,1231,30451,25466,251,134
77,224,608,2483,2256,137,439,1379,1241,30835,25768,224,137
78,234,647,2504,2254,114,468,1456,1320,31248,26122,234,114
79,228,607,2531,2287,148,465,1427,1271,31627,26439,228,148
80,220,642,2538,2256,137,477,1448,1300,32049,26779,220,137
81,224,641,2455,2199,135,459,1389,1248,32466,27103,224,135
82,249,607,2428,2202,136,454,1416,1323,32824,27421,249,136
83,237,619,2441,2215,144,470,1388,1250,33206,27747,237,144
84,241,591,2394,2224,138,455,1401,1312,33556,28064,241,138
85,208,599,2413,2225,173,488,1440,1244,33947,28379,208,173
86,213,668,2603,2306,147,452,1383,1271,34402,28684,213,147
87,238,573,2387,2194,120,479,1436,1256,34737,29043,238,120
88,210,593,2413,2184,153,420,1390,1280,35120,29310,210,153
89,237,618,2470,2217,124,456,1352,1177,35501,29642,237,124
90,244,627,2491,2251,120,413,1311,1215,35884,29935,244,120
91,201,596,2563,2340,160,481,1459,1308,36279,30256,201,160
92,240,633,2430,2180,147,476,1394,1267,36672,30585,240,147
93,237,588,2363,2162,113,491,1434,1260,37023,30963,237,113
94,242,631,2469,2207,123,449,1404,1304,37412,31289,242,123
95,257,586,2446,2257,141,478,1394,1246,37741,31626,257,141
96,253,563,2423,2253,149,466,1402,1238,38051,31943,253,149
97,235,634,2434,2173,137,489,1459,1294,38450,32295,235,137
98,218,639,2495,2248,136,459,1384,1261,38871,32618,218,136
99,243,629,2512,2240,143,420,1387,1266,39257,32895,243,143
100,249,586,2411,2189,136,448,1365,1257,39594,33207,249,136
101,226,627,2436,2163,149,463,1418,1252,39995,33521,226,149
102,240,615,2522,2310,139,474,1443,1291,40370,33856,240,139
103,223,613,2468,2221,135,490,1488,1321,40760,34211,223,135
104,229,607,2518,2280,162,454,1415,1298,41138,34503,229,162
105,215,605,2424,2214,137,451,1388,1272,41528,34817,215,137
106,218,639,2519,2271,133,492,1366,1210,41949,35176,218,133
107,235,639,2556,2304,140,499,1457,1279,42353,35535,235,140
108,240,569,2383,2189,127,442,1356,1232,42682,35850,240,127
109,233,614,2452,2209,140,472,1416,1272,43063,36182,233,140
110,246,621,2434,2187,150,474,1439,1277,43438,36506,246,150
111,230,642,2498,2239,142,436,1400,1304,43850,36800,230,142
112,225,583,2414,2174,132,465,1397,1231,44208,37133,225,132
113,243,623,2449,2212,135,464,1366,1227,44588,37462,243,135
114,239,612,2435,2178,139,435,1422,1295,44961,37758,239,139
115,244,621,2520,2296,129,439,1395,1253,45338,38068,244,129
116,233,598,2394,2168,129,457,1452,1316,45703,38396,233,129
117,227,564,2413,2207,136,449,1394,1264,46040,38709,227,136
118,212,616,2467,2263,131,459,1427,1311,46444,39037,212,131
119,241,605,2486,2245,135,474,1382,1218,46808,39376,241,135
120,248,629,2515,2276,138,442,1379,1238,47189,39680,248,138
121,209,612,2475,2226,136,463,1426,1291,47592,40007,209,136
