iso_code,date,weekly_hosp_admissions,new_deaths,total_deaths,total_cases,new_cases,stringency_index
ITA,2020-01-31,NA,0,NA,3,1,19.44
ITA,2020-02-01,NA,0,NA,3,0,19.44
ITA,2020-02-02,NA,0,NA,3,0,19.44
ITA,2020-02-03,NA,0,NA,3,0,19.44
ITA,2020-02-04,NA,0,NA,3,0,19.44
ITA,2020-02-05,NA,0,NA,3,0,19.44
ITA,2020-02-06,NA,0,NA,3,0,19.44
ITA,2020-02-07,NA,0,NA,3,0,19.44
ITA,2020-02-08,NA,0,NA,3,0,19.44
ITA,2020-02-09,NA,0,NA,3,0,19.44
ITA,2020-02-10,NA,0,NA,3,0,19.44
ITA,2020-02-11,NA,0,NA,3,0,19.44
ITA,2020-02-12,NA,0,NA,3,0,19.44
ITA,2020-02-13,NA,0,NA,3,0,19.44
ITA,2020-02-14,NA,0,NA,3,0,19.44
ITA,2020-02-15,NA,0,NA,3,0,19.44
ITA,2020-02-16,NA,0,NA,3,0,19.44
ITA,2020-02-17,NA,0,NA,3,0,19.44
ITA,2020-02-18,NA,0,NA,3,0,19.44
ITA,2020-02-19,NA,0,NA,3,0,19.44
ITA,2020-02-20,NA,0,NA,3,0,19.44
ITA,2020-02-21,NA,0,NA,3,0,27.78
ITA,2020-02-22,NA,0,NA,17,14,37.04
ITA,2020-02-23,NA,2,2,79,62,64.35
ITA,2020-02-24,NA,1,3,132,53,64.35
ITA,2020-02-25,NA,4,7,229,97,64.35
ITA,2020-02-26,1196,3,10,322,93,64.35
ITA,2020-02-27,1421,2,12,400,78,64.35
ITA,2020-02-28,1673,5,17,650,250,64.35
ITA,2020-02-29,1936,4,21,888,238,64.35
ITA,2020-03-01,2224,8,29,1128,240,64.35
ITA,2020-03-02,2695,5,34,1694,566,69.91
ITA,2020-03-03,3234,18,52,2036,342,69.91
ITA,2020-03-04,3865,27,79,2502,466,72.69
ITA,2020-03-05,4631,28,107,3089,587,74.54
ITA,2020-03-06,5447,41,148,3858,769,74.54
ITA,2020-03-07,6248,49,197,4636,778,74.54
ITA,2020-03-08,6943,36,233,5883,1247,74.54
ITA,2020-03-09,7706,133,366,7375,1492,74.54
ITA,2020-03-10,8452,97,463,9172,1797,79.63
ITA,2020-03-11,9253,168,631,10149,977,82.41
ITA,2020-03-12,10028,196,827,12462,2313,82.41
ITA,2020-03-13,11099,189,1016,15113,2651,82.41
ITA,2020-03-14,11902,250,1266,17660,2547,82.41
ITA,2020-03-15,12662,175,1441,21157,3497,82.41
ITA,2020-03-16,13722,368,1809,24747,3590,82.41
ITA,2020-03-17,14831,349,2158,27980,3233,82.41
ITA,2020-03-18,15823,345,2503,31506,3526,82.41
ITA,2020-03-19,16750,475,2978,35713,4207,82.41
ITA,2020-03-20,17332,427,3405,41035,5322,85.19
ITA,2020-03-21,17896,627,4032,47021,5986,85.19
ITA,2020-03-22,18189,793,4825,53578,6557,85.19
ITA,2020-03-23,18410,651,5476,59138,5560,85.19
ITA,2020-03-24,18367,601,6077,63927,4789,85.19
ITA,2020-03-25,17987,743,6820,69176,5249,85.19
ITA,2020-03-26,17323,683,7503,74386,5210,85.19
ITA,2020-03-27,16717,662,8165,80539,6153,85.19
ITA,2020-03-28,15926,969,9134,86498,5959,85.19
ITA,2020-03-29,15176,889,10023,92472,5974,85.19
ITA,2020-03-30,14155,756,10779,97689,5217,85.19
ITA,2020-03-31,13127,812,11591,101739,4050,85.19
ITA,2020-04-01,12327,837,12428,105792,4053,85.19
ITA,2020-04-02,11678,727,13155,110574,4782,85.19
ITA,2020-04-03,10720,760,13915,115242,4668,85.19
ITA,2020-04-04,10009,766,14681,119827,4585,85.19
ITA,2020-04-05,9418,681,15362,124632,4805,85.19
ITA,2020-04-06,8772,525,15887,128948,4316,85.19
ITA,2020-04-07,8227,636,16523,132547,3599,85.19
ITA,2020-04-08,7770,604,17127,135586,3039,85.19
ITA,2020-04-09,7320,542,17669,139422,3836,85.19
ITA,2020-04-10,6995,610,18279,143626,4204,87.96
ITA,2020-04-11,6787,570,18849,147577,3951,87.96
ITA,2020-04-12,6613,619,19468,152271,4694,93.52
ITA,2020-04-13,6208,431,19899,156363,4092,93.52
